,frase
0,"O/A Sr.  Owen Harris Braund não sobreviveu ao acidente do Titanic. Na época, contava com 22 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 7.25 pelo bilhete A/5 21171. Embarcou Acompanhado de irmãos. Embarcou Não acompanhado de pais."
1,"O/A Sra.  John Bradley (Florence Briggs Thayer) Cumings sobreviveu ao acidente do Titanic. Na época, contava com 38 anos, embarcou em Cherbourg, na cabine C85, classe A. Pagou US$ 71.28 pelo bilhete PC 17599. Embarcou Acompanhado de irmãos. Embarcou Não acompanhado de pais."
2,"O/A Sra.  Laina Heikkinen sobreviveu ao acidente do Titanic. Na época, contava com 26 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 7.92 pelo bilhete STON/O2. 3101282. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
3,"O/A Sra.  Jacques Heath (Lily May Peel) Futrelle sobreviveu ao acidente do Titanic. Na época, contava com 35 anos, embarcou em Southampton, na cabine C123, classe A. Pagou US$ 53.1 pelo bilhete 113803. Embarcou Acompanhado de irmãos. Embarcou Não acompanhado de pais."
4,"O/A Sr.  William Henry Allen não sobreviveu ao acidente do Titanic. Na época, contava com 35 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 8.05 pelo bilhete 373450. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
5,"O/A Sr.  James Moran não sobreviveu ao acidente do Titanic. Na época, contava com desconhecidos anos, embarcou em Queenstown, na cabine desconhecida, classe C. Pagou US$ 8.46 pelo bilhete 330877. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
6,"O/A Sr.  Timothy J McCarthy não sobreviveu ao acidente do Titanic. Na época, contava com 54 anos, embarcou em Southampton, na cabine E46, classe A. Pagou US$ 51.86 pelo bilhete 17463. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
7,"O/A Sr.  Gosta Leonard Palsson não sobreviveu ao acidente do Titanic. Na época, contava com 2 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 21.08 pelo bilhete 349909. Embarcou Não acompanhado de irmãos. Embarcou Acompanhado de pais."
8,"O/A Sra.  Oscar W (Elisabeth Vilhelmina Berg) Johnson sobreviveu ao acidente do Titanic. Na época, contava com 27 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 11.13 pelo bilhete 347742. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
9,"O/A Sra.  Nicholas (Adele Achem) Nasser sobreviveu ao acidente do Titanic. Na época, contava com 14 anos, embarcou em Cherbourg, na cabine desconhecida, classe B. Pagou US$ 30.07 pelo bilhete 237736. Embarcou Acompanhado de irmãos. Embarcou Não acompanhado de pais."
10,"O/A Sra.  Marguerite Rut Sandstrom sobreviveu ao acidente do Titanic. Na época, contava com 4 anos, embarcou em Southampton, na cabine G6, classe C. Pagou US$ 16.7 pelo bilhete PP 9549. Embarcou Acompanhado de irmãos. Embarcou Acompanhado de pais."
11,"O/A Sra.  Elizabeth Bonnell sobreviveu ao acidente do Titanic. Na época, contava com 58 anos, embarcou em Southampton, na cabine C103, classe A. Pagou US$ 26.55 pelo bilhete 113783. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
12,"O/A Sr.  William Henry Saundercock não sobreviveu ao acidente do Titanic. Na época, contava com 20 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 8.05 pelo bilhete A/5. 2151. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
13,"O/A Sr.  Anders Johan Andersson não sobreviveu ao acidente do Titanic. Na época, contava com 39 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 31.28 pelo bilhete 347082. Embarcou Acompanhado de irmãos. Embarcou Não acompanhado de pais."
14,"O/A Sra.  Hulda Amanda Adolfina Vestrom não sobreviveu ao acidente do Titanic. Na época, contava com 14 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 7.85 pelo bilhete 350406. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
15,"O/A Sra.  (Mary D Kingcome)  Hewlett sobreviveu ao acidente do Titanic. Na época, contava com 55 anos, embarcou em Southampton, na cabine desconhecida, classe B. Pagou US$ 16.0 pelo bilhete 248706. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
16,"O/A Sr.  Eugene Rice não sobreviveu ao acidente do Titanic. Na época, contava com 2 anos, embarcou em Queenstown, na cabine desconhecida, classe C. Pagou US$ 29.12 pelo bilhete 382652. Embarcou Não acompanhado de irmãos. Embarcou Acompanhado de pais."
17,"O/A Sr.  Charles Eugene Williams sobreviveu ao acidente do Titanic. Na época, contava com desconhecidos anos, embarcou em Southampton, na cabine desconhecida, classe B. Pagou US$ 13.0 pelo bilhete 244373. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
18,"O/A Sra.  Julius (Emelia Maria Vandemoortele) Vander Planke não sobreviveu ao acidente do Titanic. Na época, contava com 31 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 18.0 pelo bilhete 345763. Embarcou Acompanhado de irmãos. Embarcou Não acompanhado de pais."
19,"O/A Sra.  Fatima Masselmani sobreviveu ao acidente do Titanic. Na época, contava com desconhecidos anos, embarcou em Cherbourg, na cabine desconhecida, classe C. Pagou US$ 7.22 pelo bilhete 2649. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
20,"O/A Sr.  Joseph J Fynney não sobreviveu ao acidente do Titanic. Na época, contava com 35 anos, embarcou em Southampton, na cabine desconhecida, classe B. Pagou US$ 26.0 pelo bilhete 239865. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
21,"O/A Sr.  Lawrence Beesley sobreviveu ao acidente do Titanic. Na época, contava com 34 anos, embarcou em Southampton, na cabine D56, classe B. Pagou US$ 13.0 pelo bilhete 248698. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
22,"O/A Sra.  Anna ""Annie"" McGowan sobreviveu ao acidente do Titanic. Na época, contava com 15 anos, embarcou em Queenstown, na cabine desconhecida, classe C. Pagou US$ 8.03 pelo bilhete 330923. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
23,"O/A Sr.  William Thompson Sloper sobreviveu ao acidente do Titanic. Na época, contava com 28 anos, embarcou em Southampton, na cabine A6, classe A. Pagou US$ 35.5 pelo bilhete 113788. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
24,"O/A Sra.  Torborg Danira Palsson não sobreviveu ao acidente do Titanic. Na época, contava com 8 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 21.08 pelo bilhete 349909. Embarcou Não acompanhado de irmãos. Embarcou Acompanhado de pais."
25,"O/A Sra.  Carl Oscar (Selma Augusta Emilia Johansson) Asplund sobreviveu ao acidente do Titanic. Na época, contava com 38 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 31.39 pelo bilhete 347077. Embarcou Acompanhado de irmãos. Embarcou Não acompanhado de pais."
26,"O/A Sr.  Farred Chehab Emir não sobreviveu ao acidente do Titanic. Na época, contava com desconhecidos anos, embarcou em Cherbourg, na cabine desconhecida, classe C. Pagou US$ 7.22 pelo bilhete 2631. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
27,"O/A Sr.  Charles Alexander Fortune não sobreviveu ao acidente do Titanic. Na época, contava com 19 anos, embarcou em Southampton, na cabine C23 C25 C27, classe A. Pagou US$ 263.0 pelo bilhete 19950. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
28,"O/A Sra.  Ellen ""Nellie"" O'Dwyer sobreviveu ao acidente do Titanic. Na época, contava com desconhecidos anos, embarcou em Queenstown, na cabine desconhecida, classe C. Pagou US$ 7.88 pelo bilhete 330959. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
29,"O/A Sr.  Lalio Todoroff não sobreviveu ao acidente do Titanic. Na época, contava com desconhecidos anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 7.9 pelo bilhete 349216. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
30,"O/A Sr.  Manuel E Uruchurtu não sobreviveu ao acidente do Titanic. Na época, contava com 40 anos, embarcou em Cherbourg, na cabine desconhecida, classe A. Pagou US$ 27.72 pelo bilhete PC 17601. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
31,"O/A Sra.  William Augustus (Marie Eugenie) Spencer sobreviveu ao acidente do Titanic. Na época, contava com desconhecidos anos, embarcou em Cherbourg, na cabine B78, classe A. Pagou US$ 146.52 pelo bilhete PC 17569. Embarcou Acompanhado de irmãos. Embarcou Não acompanhado de pais."
32,"O/A Sra.  Mary Agatha Glynn sobreviveu ao acidente do Titanic. Na época, contava com desconhecidos anos, embarcou em Queenstown, na cabine desconhecida, classe C. Pagou US$ 7.75 pelo bilhete 335677. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
33,"O/A Sr.  Edward H Wheadon não sobreviveu ao acidente do Titanic. Na época, contava com 66 anos, embarcou em Southampton, na cabine desconhecida, classe B. Pagou US$ 10.5 pelo bilhete C.A. 24579. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
34,"O/A Sr.  Edgar Joseph Meyer não sobreviveu ao acidente do Titanic. Na época, contava com 28 anos, embarcou em Cherbourg, na cabine desconhecida, classe A. Pagou US$ 82.17 pelo bilhete PC 17604. Embarcou Acompanhado de irmãos. Embarcou Não acompanhado de pais."
35,"O/A Sr.  Alexander Oskar Holverson não sobreviveu ao acidente do Titanic. Na época, contava com 42 anos, embarcou em Southampton, na cabine desconhecida, classe A. Pagou US$ 52.0 pelo bilhete 113789. Embarcou Acompanhado de irmãos. Embarcou Não acompanhado de pais."
36,"O/A Sr.  Hanna Mamee sobreviveu ao acidente do Titanic. Na época, contava com desconhecidos anos, embarcou em Cherbourg, na cabine desconhecida, classe C. Pagou US$ 7.23 pelo bilhete 2677. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
37,"O/A Sr.  Ernest Charles Cann não sobreviveu ao acidente do Titanic. Na época, contava com 21 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 8.05 pelo bilhete A./5. 2152. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
38,"O/A Sra.  Augusta Maria Vander Planke não sobreviveu ao acidente do Titanic. Na época, contava com 18 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 18.0 pelo bilhete 345764. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
39,"O/A Sra.  Jamila Nicola-Yarred sobreviveu ao acidente do Titanic. Na época, contava com 14 anos, embarcou em Cherbourg, na cabine desconhecida, classe C. Pagou US$ 11.24 pelo bilhete 2651. Embarcou Acompanhado de irmãos. Embarcou Não acompanhado de pais."
40,"O/A Sra.  Johan (Johanna Persdotter Larsson) Ahlin não sobreviveu ao acidente do Titanic. Na época, contava com 40 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 9.48 pelo bilhete 7546. Embarcou Acompanhado de irmãos. Embarcou Não acompanhado de pais."
41,"O/A Sra.  William John Robert (Dorothy Ann Wonnacott) Turpin não sobreviveu ao acidente do Titanic. Na época, contava com 27 anos, embarcou em Southampton, na cabine desconhecida, classe B. Pagou US$ 21.0 pelo bilhete 11668. Embarcou Acompanhado de irmãos. Embarcou Não acompanhado de pais."
42,"O/A Sr.  Theodor Kraeff não sobreviveu ao acidente do Titanic. Na época, contava com desconhecidos anos, embarcou em Cherbourg, na cabine desconhecida, classe C. Pagou US$ 7.9 pelo bilhete 349253. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
43,"O/A Sra.  Simonne Marie Anne Andree Laroche sobreviveu ao acidente do Titanic. Na época, contava com 3 anos, embarcou em Cherbourg, na cabine desconhecida, classe B. Pagou US$ 41.58 pelo bilhete SC/Paris 2123. Embarcou Acompanhado de irmãos. Embarcou Não acompanhado de pais."
44,"O/A Sra.  Margaret Delia Devaney sobreviveu ao acidente do Titanic. Na época, contava com 19 anos, embarcou em Queenstown, na cabine desconhecida, classe C. Pagou US$ 7.88 pelo bilhete 330958. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
45,"O/A Sr.  William John Rogers não sobreviveu ao acidente do Titanic. Na época, contava com desconhecidos anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 8.05 pelo bilhete S.C./A.4. 23567. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
46,"O/A Sr.  Denis Lennon não sobreviveu ao acidente do Titanic. Na época, contava com desconhecidos anos, embarcou em Queenstown, na cabine desconhecida, classe C. Pagou US$ 15.5 pelo bilhete 370371. Embarcou Acompanhado de irmãos. Embarcou Não acompanhado de pais."
47,"O/A Sra.  Bridget O'Driscoll sobreviveu ao acidente do Titanic. Na época, contava com desconhecidos anos, embarcou em Queenstown, na cabine desconhecida, classe C. Pagou US$ 7.75 pelo bilhete 14311. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
48,"O/A Sr.  Youssef Samaan não sobreviveu ao acidente do Titanic. Na época, contava com desconhecidos anos, embarcou em Cherbourg, na cabine desconhecida, classe C. Pagou US$ 21.68 pelo bilhete 2662. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
49,"O/A Sra.  Josef (Josefine Franchi) Arnold-Franchi não sobreviveu ao acidente do Titanic. Na época, contava com 18 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 17.8 pelo bilhete 349237. Embarcou Acompanhado de irmãos. Embarcou Não acompanhado de pais."
50,"O/A Sr.  Juha Niilo Panula não sobreviveu ao acidente do Titanic. Na época, contava com 7 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 39.69 pelo bilhete 3101295. Embarcou Não acompanhado de irmãos. Embarcou Acompanhado de pais."
51,"O/A Sr.  Richard Cater Nosworthy não sobreviveu ao acidente do Titanic. Na época, contava com 21 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 7.8 pelo bilhete A/4. 39886. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
52,"O/A Sra.  Henry Sleeper (Myna Haxtun) Harper sobreviveu ao acidente do Titanic. Na época, contava com 49 anos, embarcou em Cherbourg, na cabine D33, classe A. Pagou US$ 76.73 pelo bilhete PC 17572. Embarcou Acompanhado de irmãos. Embarcou Não acompanhado de pais."
53,"O/A Sra.  Lizzie (Elizabeth Anne Wilkinson) Faunthorpe sobreviveu ao acidente do Titanic. Na época, contava com 29 anos, embarcou em Southampton, na cabine desconhecida, classe B. Pagou US$ 26.0 pelo bilhete 2926. Embarcou Acompanhado de irmãos. Embarcou Não acompanhado de pais."
54,"O/A Sr.  Engelhart Cornelius Ostby não sobreviveu ao acidente do Titanic. Na época, contava com 65 anos, embarcou em Cherbourg, na cabine B30, classe A. Pagou US$ 61.98 pelo bilhete 113509. Embarcou Não acompanhado de irmãos. Embarcou Acompanhado de pais."
